author,published_at,updated_at,like_count,text
@maheshkatib,2024-11-11T08:36:38Z,2024-11-11T08:36:38Z,0,🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🧇🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪 medicine for adam 🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🌽🌽🌽🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🌽🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐🥐 leave message
@georgehank5835,2024-11-10T16:59:11Z,2024-11-10T16:59:11Z,0,Junk!!!
@WXP6121-x3y,2024-11-07T02:28:40Z,2024-11-07T02:28:40Z,1,Seriously Snyder’s DCEU will fall the Ending of this Movie is a Good Direction to have James Gunn erase his trash Mess forever The way he<br>Distracted D•sney to a Bad circus too Pointlessly too Hopeless you Go James Gunn I hope Zack Snyder Movie’s rot to Peace’s forever it served What it get’s forever E- to all his Movie’s
@DinukAngelo,2024-11-03T12:24:28Z,2024-11-03T12:24:28Z,0,The Final Boss🐂
@Victoriouscanalfan,2024-11-01T20:56:08Z,2024-11-01T20:56:08Z,1,🤔😁👍🌟👏⭐
@SimarDesign,2024-10-25T12:52:23Z,2024-10-25T12:52:23Z,1,Anyone who liked this movie needs to get more mature.
@trolololotrololo853,2024-10-25T09:21:41Z,2024-10-25T09:21:41Z,3,one of the best movies in cinema history
@godsglorynkpornwi7968,2024-10-24T00:24:54Z,2024-10-24T00:24:54Z,0,Is staying out the way also an option
@Enriquez520,2024-10-17T21:33:48Z,2024-10-17T21:33:48Z,2,The rock…starring the rock…written by the rock
@bogdib4326,2024-10-14T20:22:43Z,2024-10-14T20:22:43Z,2,In the background is a tipical romanian traditional flok song to hear. It&#39;s called &quot;Argatu - sesiune de folclor romanesc&quot; 💙💛❤️
@joanalynrebanal2164,2024-10-05T05:17:53Z,2024-10-05T05:17:53Z,2,Its the rock
@Habesahmad786,2024-10-04T14:45:57Z,2024-10-04T14:45:57Z,1,Burma somch zolom har gareboko jail deraha zolom ki sewa zindegi dena cuchi hot one day need to me suchi 🦜
@alfaisalq5739,2024-09-22T23:31:55Z,2024-09-22T23:31:55Z,2,If drake would take a role would it b perfect???
@CameronBlair-s4s,2024-09-16T13:29:40Z,2024-09-16T13:29:40Z,4,Let’s make a white Adam movie.
@GusTernence-s5k,2024-09-14T05:57:35Z,2024-09-14T05:57:35Z,0,Williams Mary Garcia Kevin Wilson Maria
@Rahuliya_Bakshi_Kalki_2898,2024-09-03T09:05:23Z,2024-09-03T09:05:23Z,4,BLACK ADAM 2
@Rahuliya_Bakshi_Kalki_2898,2024-09-03T09:05:12Z,2024-09-03T09:05:12Z,2,NEED BLACK ADAM 2
@linziolamiach1120,2024-08-30T04:47:43Z,2024-08-30T04:47:43Z,0,Lin Ziola | United States Passport
@linziolamiach1120,2024-08-30T04:47:22Z,2024-08-30T04:47:22Z,0,SCHENGEN | Schengen | Lin Ziola
@linziolamiach1120,2024-08-30T04:46:37Z,2024-08-30T04:46:37Z,0,Passport Index | Lin Ziola
@linziolamiach1120,2024-08-30T04:45:58Z,2024-08-30T04:45:58Z,0,"<a href=""http://www.youtube.com/results?search_query=%23lin"">#Lin</a> Ziola <a href=""http://www.youtube.com/results?search_query=%23youtube"">#YouTube</a>"
@linziolamiach1120,2024-08-30T04:45:29Z,2024-08-30T04:45:29Z,0,"<a href=""http://www.youtube.com/results?search_query=%23lin"">#Lin</a> Ziola"
@linziolamiach1120,2024-08-30T04:45:05Z,2024-08-30T04:45:05Z,0,Black Adam: Lin Ziola
@kthekid488,2024-08-28T06:23:44Z,2024-08-28T06:23:44Z,1,I was watching the trailer in the middle of the night thinking I was about to Black Out???
@Fun4Fans050,2024-08-28T02:28:30Z,2024-08-28T02:28:30Z,1,❤🔥👍
@tryndamerito8105,2024-08-23T18:01:24Z,2024-08-23T18:01:24Z,2,Well done ! Finally a good super hero movies like old ones ❤. <br>Tired of marvelgbtq bullshits.
@hitjung4342,2024-08-16T19:55:55Z,2024-08-16T19:55:55Z,0,Hhh
@hitjung4342,2024-08-16T19:55:35Z,2024-08-16T19:55:35Z,0,Hhhhhhhh
@VelenMedina3,2024-08-16T12:42:49Z,2024-08-16T12:42:49Z,1,Published in May 1 2022
@Chuuy_17,2024-08-08T10:29:29Z,2024-08-08T10:29:29Z,2,i love alot of the movies with the rock in it. the suit kinda reminds me of shazam as well but i may just be seeing things
@rifleorcagames,2024-08-06T06:58:26Z,2024-08-06T06:58:26Z,2,"who is watching this on the 6th of August, 2024 !!!!!!!!"
@lovemichael8660,2024-08-06T06:10:38Z,2024-08-06T06:10:38Z,0,Black Adam
@TheBatman4809,2024-08-04T15:32:17Z,2024-08-04T15:32:17Z,1,I kneel before no one. No kings. No queens. Democracy.
@joshcooper7001,2024-08-03T00:02:45Z,2024-08-03T00:02:45Z,1,I love this movie and Dwayne Johnson
@AJITESHSINGH-fw3qk,2024-07-30T11:20:27Z,2024-07-30T11:20:27Z,2,I don’t fking care about anyone’s opinion this movie was really good
@fentlover24,2024-07-29T21:49:11Z,2024-07-29T21:49:11Z,0,hi adam plastic water
@tadeojo5413,2024-07-22T09:42:16Z,2024-07-22T09:42:16Z,4,Diabolical. Worst movie I’ve stumbled across in a long time.
@Carpathianrelinquished,2024-07-22T07:20:50Z,2024-07-22T07:20:50Z,0,What utter box tick garbage this is.
@muhsinh3914,2024-07-19T09:46:40Z,2024-07-19T09:46:40Z,0,Black adam need more power.. 🔥🔥🔥🔥
@InfoPool448,2024-07-14T21:24:59Z,2024-07-14T21:24:59Z,3,"One of the worse movies, repeated and unnecessary dialogues with unnecessary action."
@bestmoviesever1,2024-07-12T15:16:58Z,2024-07-12T15:16:58Z,1,"<a href=""http://www.youtube.com/results?search_query=%23makeblackadam2"">#MakeBlackAdam2</a><br><br><a href=""http://www.youtube.com/results?search_query=%23restorethesynderverse"">#RestoreTheSynderVerse</a>"
@FakeCdawgVA12,2024-06-30T16:07:51Z,2024-06-30T16:07:51Z,0,Why a kid narrator? That&#39;s the only one that put me off
@Redkodiak1994,2024-06-29T19:47:32Z,2024-06-29T19:51:56Z,1,As much as i can&#39;t stand the rock i would not mind watching this movie it actually looks good according to the snowflakes it has satanic content
@Youtuber_star_01,2024-06-26T01:42:08Z,2024-06-26T01:42:08Z,0,🎉🎉🎉
@AdeshinaAdam,2024-06-24T18:05:47Z,2024-06-24T18:05:47Z,0,❤
@Akuma_Raou,2024-06-16T22:13:32Z,2024-06-16T22:13:32Z,0,what a TRASH movie LMAO!!!
@youcannowplayasluigi3698,2024-06-16T04:24:40Z,2024-06-16T04:24:40Z,0,Why did they make this movie lmao
@jawfar,2024-06-09T14:54:10Z,2024-06-09T14:54:10Z,1,This is color climat good sir ❤️
@julestamayo5828,2024-06-08T06:45:43Z,2024-06-08T06:45:43Z,2,haven&#39;t seen a super/anti hero story this good in a while
@brucelau2023,2024-06-07T10:36:01Z,2024-06-07T10:36:01Z,1,literally i always go back to this trailer for all the good times.. <br>sigh wish this movie wasn&#39;t just about the rock being the rock
@javonsimms213,2024-06-06T23:46:18Z,2024-06-06T23:46:18Z,1,"Black Adam, can you be real life please I want to meet you in person so you can show me your powers"
@corum7503,2024-06-05T08:28:10Z,2024-06-05T08:28:10Z,1,"Box Office of this movie had to of been $950,000,000,000,000"
@corum7503,2024-06-05T08:27:55Z,2024-06-05T08:27:55Z,0,📍Lundquist College of Business<br>📍Mays College of Business<br>📍Bauer College of Business<br>📍Mendoza College of Business<br>📍Hankamer College of Business<br>📍Alvarez College of Business<br>📍Katz College of Business<br>📍Neely College of Business<br>📍Marshall College of Business<br>📍Terry College of Business<br>📍Stern College of Business<br>📍Rawls College of Business<br>📍Cox College of Business<br>📍McCoy College of Business<br>📍Lee College of Business<br>📍Leeds College of Business<br>📍Ross College of Business<br>📍E.J Ourso College of Business<br>📍Price College of Business<br>📍Booth College of Business<br>📍Kenan-Flager College of Business<br>📍Gaston College of Business<br>📍Haslam College of Business<br>📍Culverhouse College of Business<br>📍Hass College of Business<br>📍Stanford College of Business<br>📍Harvard College of Business
@STILLSTANDING23913,2024-06-02T01:37:02Z,2024-06-02T01:37:02Z,0,"As an Attorney, Your Honor I submit this as Exhibit “A” into the record"
@STILLSTANDING23913,2024-06-02T01:29:14Z,2024-06-02T01:29:14Z,0,The Rock is Samson
@STILLSTANDING23913,2024-06-02T01:28:58Z,2024-06-02T01:28:58Z,0,"Tommy always liked the Rock, I liked Stone Cold Steve Austin"
@STILLSTANDING23913,2024-06-02T01:22:37Z,2024-06-02T01:22:37Z,0,WHO IS BLACK ADAM =<br>BLIND SAMSON =<br>122 + 59 = 181
@Charlieseason_16,2024-06-01T02:02:25Z,2024-06-01T02:02:25Z,0,LETS GOOOO THIS IS AWESOME!!!!!😆😆💙💙💙💙⚡️⚡️⚡️⚡️⚡️ LETS GO THE ROCK!!!! I LOVE YOU DWANYEEEE!!!!!
@ReeChad.,2024-05-31T01:23:37Z,2024-05-31T01:23:37Z,2,This movie was good its just that ever since endgame everyone want to compare every film with it
@BNV4LIFE,2024-05-28T00:39:42Z,2024-05-28T00:39:42Z,0,They rolled the window up lol
@vardellsfolly5200,2024-05-26T08:18:11Z,2024-05-26T08:18:11Z,0,That movie was so hideous that it made the Twilight films look masterpieces...
@Kostas.mp3,2024-05-25T17:42:39Z,2024-05-25T17:42:39Z,9,People hating on this movie need help or something. Especially in the cinema it was beyond epic. Hard af
@nikokotlar2093,2024-05-25T10:30:50Z,2024-05-25T10:30:50Z,0,❤❤❤❤velice dobrí film
@GanaPathi-p1b,2024-05-22T17:06:09Z,2024-05-22T17:06:09Z,0,Dc needs a b8g action packed emotional movie
@DeanRhyne,2024-05-18T01:31:10Z,2024-05-18T01:31:10Z,0,I AM SICK OF TH E   rock
@bLUEtHANKYOURETURNASHSCR-qq4lo,2024-05-13T11:15:11Z,2024-05-13T11:15:11Z,0,Gj.
@TheDonGrego,2024-05-09T10:57:33Z,2024-05-09T10:57:33Z,0,Movie kinda 😳
@Lopzzzanthony,2024-05-06T18:36:10Z,2024-05-06T18:36:10Z,0,"Was good idea sadly they try to become him some kind of hero, black adam aint a hero, they ruined the movie from mid to the end."
@georgerosanglien,2024-05-06T12:44:44Z,2024-05-06T12:44:44Z,0,Ladakh fairy tale lalrothang haoginlal
@Boxten-h9w,2024-05-05T15:36:09Z,2024-05-05T15:36:09Z,0,"The rock, that&#39;s the rap.Oh my God I can&#39;t believe my eyes.Rock is in the movie🥹🥹🥹🥹🥹🥹🥹"
@lotus0958,2024-05-04T14:52:59Z,2024-05-04T14:52:59Z,0,De ce canta pe fundal muzica traditionala Romaneasca fara sa ne ceara voie? Chestia asta costa mult ! Platiti banii Romaniei pentru folosirea traditiilor noastre !
@rainerzufall4209,2024-05-03T18:20:15Z,2024-05-03T18:20:15Z,1,😂😮😮😮😅😅😅❤❤❤🎉🎉😮😮😮
@ryukosukuno4473,2024-05-03T04:48:05Z,2024-05-03T04:48:05Z,1,The storyline is trash and the actor doesn&#39;t fit as simple as that.
@rainerzufall4209,2024-05-02T17:44:59Z,2024-05-02T17:44:59Z,2,Dwayne Johnson is cool 😎😎
@demmerdumanat196,2024-04-29T19:47:15Z,2024-04-29T19:47:15Z,0,Shazam
@Nlang1969,2024-04-29T00:08:09Z,2024-04-29T00:08:09Z,0,Gayer than a pride flag
@leonardwilliams7772,2024-04-27T18:13:05Z,2024-04-27T18:14:59Z,1,"The writing, in Hollywood, is absolutely NOT, what the golden age was. The over the top, cgi, the comedian foreign kid, the clueless, young  kids, I&#39;ve discovered I cannot watch ANYTHING, if modern day youngsters are portrayed. The UTTER, cluelessness, of anyone under 40, nauseates me. 21 year olds from the boomer days, were men. Woman. They past the childlike stage. That&#39;s history. 20 somethings, WERE, grown. They didn&#39;t play video games, or look to have as much fun as possible. They got down to the seriousness of life.then, tech raised it&#39;s ugly head, and sealed the coffin. Oh, and, the bald head thing is WAY, worn out. A regular, military hair cut Dwayne. The bald thing is stupid.start making some of the REAL, epic stories of the bible with your tech. Comics are for children. I USED, to love them. Before I grew up."
@toonami20,2024-04-22T02:25:58Z,2024-04-22T02:25:58Z,1,Please anybody know the name of this song playing in the trailer?
@MsWORLDCLASS4,2024-04-21T20:30:29Z,2024-04-21T20:30:29Z,1,omg i have never laughed so hard from any hero movie...My jaws hurt so bad🤣🤣🤣🤣🤣
@antoanthony3400,2024-04-20T19:35:22Z,2024-04-20T19:35:22Z,0,"the trailer had me so hyped<a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a>"
@rw9207,2024-04-19T22:43:13Z,2024-04-19T22:43:13Z,0,"Just watched this movie again and couldn&#39;t hold my tongue.....<br>... What the director, Producers and writers did to this franchise, was nothing shy of a moral crime!... A ton of great ideas and a ton of f&#39;ing bad ones, slammed into a single movie that could have been three.....Starts off SO well. But then, churns into a string of badly executed Cheesy cliches, half stolen from bad marvel movies... SO rushed through, it barely makes coherent sense.... Ok, I&#39;ve said my piece."
@stevechannel6856,2024-04-18T18:56:32Z,2024-04-18T18:56:32Z,0,We want Cyclone solo movie/series 💚🌪️
@PRAJWAL-S.L.-11,2024-04-17T14:22:29Z,2024-04-17T14:22:29Z,0,Dooflix per free movie 😂😂
@Svinja_,2024-04-16T22:04:50Z,2024-04-16T22:04:50Z,0,Very stupid movie😅😅😅
@enaldo-hv9fb,2024-04-12T12:29:26Z,2024-04-12T12:29:26Z,2,its time to watch this banger again💥
@albertoandrade978,2024-04-10T06:06:44Z,2024-04-10T06:06:44Z,122,I really can&#39;t believe this movie isn&#39;t rated way higher. I loved it from beginning to end
@ashzole,2024-04-08T13:40:24Z,2024-04-08T13:40:24Z,0,"SHAZAM/shazam/shiIHaeznNaewWM3 is a play on words. The name SHAZAM can spell out :she has a man’s name, I am a man, I am same as a man<br><br>Black Adam and Shazam are originally female."
@RayaTigers10-js2hb,2024-04-08T00:18:15Z,2024-04-08T00:18:15Z,0,I have watched this movie at 5:15 pm today
@gentlefieldtheorynerd853,2024-04-07T11:01:16Z,2024-04-07T11:01:16Z,0,"the rock is pretty great in this, the comedic bits were welcome relief from all the ridiculous fighting"
@gentlefieldtheorynerd853,2024-04-07T10:57:52Z,2024-04-07T10:57:52Z,0,if i have to sit thru another epic battle scene i&#39;m a puke<br>who is this stuff written for?<br>bellywipes? <br>morons?
@UChit-v2q,2024-04-04T08:35:21Z,2024-04-04T08:35:21Z,0,"😊😊😊😊 you can,t do noting.   you are noting."
@JOSHUAYOUNG-yj4ki,2024-04-04T06:39:53Z,2024-04-04T06:40:21Z,0,I WAS FOUR YEARS OF AGE WHEN THEY PUSH THAT TOMB OPEN
@JOSHUAYOUNG-yj4ki,2024-04-04T06:38:43Z,2024-04-04T06:38:43Z,0,WHEN PERSON WAS STANDING SAYING HE IS OVER THEIR I FELT IT ON MY LEGS AND I KNEW AND SAW SOMEONE POINTING AT ME AND IT SAID MARS AND EARTH SUN WIND AND FIRE YES
@kuning-xg2fc,2024-04-04T06:36:31Z,2024-04-04T06:36:31Z,0,I really enjoyed the movie that&#39;s the important. Two thumbs up 👍🏼👍🏼
@JOSHUAYOUNG-yj4ki,2024-04-04T06:23:26Z,2024-04-04T06:27:14Z,0,BAALBEK TEMPLE CRYSTAL YES MELTING ABSCESS HYDRATION APPEAR YES I SAW THAT AM IN AMERICA IT CAME FROM TEMPLE YES I SEE THAT YOU ARE TOUCHING SOMETHING OR READING SOMETHING THAT I READ I SEE THAT YOU KNOW THAT I KNOW THAT THIER IS A CURE FOR ALL DISEASES THE TEMPLE ON BLACK ADAM IS IS JOSHUA TEMPLE ITS CALLED JOSHUA TEMPLE AND YES IT SAYS FEMALE YES ITS HER APRIL APRIL IS A PLANET AND PART OF JOSHUA AT TEMPLE ITS LIKE EARTHQUACK WHEN PEBBLES FALL YES <del>MARS</del>
@Cerulean9002,2024-04-04T05:59:12Z,2024-04-04T08:01:23Z,1,"What&#39;s with the woke, anti American propaganda at the beginning of the movie with the cop... If y&#39;all want to see actual oppression, go to north korea or iran... Women will likely be killed just for dressing casual. America IS NOT OPPRESSIVE, and we need to stand UNITED. Divided, we are weak"
@blaqhawk2k918,2024-04-01T21:41:06Z,2024-04-01T21:41:06Z,2,"I don&#39;t care about the reviews, I love the movie.  I bought the blu-ray."
@mikhalaa746,2024-04-01T20:26:02Z,2024-04-01T20:26:02Z,1,The movie was terrible from the acting the storyline to the damn costumes. Just terrible.🤦🏾‍♀️
@neelanshukumar4308,2024-03-29T23:42:30Z,2024-03-29T23:42:30Z,1,"When this movie was about to come out, I wanted to comment, &quot;Please don&#39;t disappoint&quot; as I had high expectations from it. I wanted it to the highest grossing film both for DC and Dwayne Johnson. <br><br><br><br><br><br><br><br><br><br>Now, 2 years later and the universe don&#39;t even exist. 💀"
@MisaLime,2024-03-26T17:03:01Z,2024-03-26T17:03:01Z,0,I was judging this movie cause im not a big fan of the rock and i dont know the story of black adam but to tell you the true.<br><br>I just watch it and i like it i think he did a good job.
@Steve-si8hx,2024-03-24T03:13:25Z,2024-03-24T03:13:25Z,0,As bad as all the other generic marvel trash
@Sadiq_baloch_675,2024-03-22T21:26:12Z,2024-03-22T21:26:12Z,0,Black Adam full movie in my cheenal come check out
@72RiviRyda,2024-03-22T14:56:45Z,2024-03-22T14:56:45Z,0,"Characters are basically Superman, Storm, Dr. Strange, Ant Man and Falcon"
@molikso6985,2024-03-22T14:54:04Z,2024-03-22T14:54:04Z,1,murder to exellence
@almondlindaz,2024-03-22T07:52:34Z,2024-03-22T07:52:34Z,0,Damn.. Why take the supporter of genocide.. Now.. Not just i don&#39;t want to watch it.. But everytime.. This trailers or ad about this movie come.. I&#39;ll make sure i tell everyone about what kind of human being he is.. Just because of money.. He support a criminal like israel..
@TheTransformationBodySwap01,2024-03-21T04:34:48Z,2024-03-21T04:34:48Z,0,Name of song playing in the trailer please?
@_shivers,2024-03-20T10:00:54Z,2024-03-20T10:00:54Z,0,"I finally watched this thing, it wasn&#39;t as terrible as The Flash. Why do DC movies have so much slow motion? It ruins every action sequence."
@mrbrooklynite,2024-03-18T20:02:21Z,2024-03-18T20:02:21Z,0,So starved for good movies now that the rich and their agenda ruined Hollywood corporations bought all the studios they not libs they Republicans and thats why moves are as good as right wing comedians but black adam is a good refreshing movie 😉 now you can say mrbrooklynite what are you talking about the little mermaid is black now the hero of star wars is a chic and to that i say exactly its the same kind of supposed help that tricks the derfs into voting red who gives tax cut to the little mermaid people letting em pass 1 trillion to they kid tax free 10% tax on it would be billions so helping in the wrong way on purpose is still wrong and it cost us our only American culture we have movies music at least foods still there 😉 till you learn that England makes our companies take out chemicals that their fda says cause cancer and diabetes and all the top rich are invested in all the same things so now 1 in 3 people will have cancer its a fact they did it to us and people looking for a deep state they cant find cause its on the mf surface 😉
@Heyya01,2024-03-18T10:06:12Z,2024-03-18T10:06:12Z,0,"This had so much potential. But as usual, plot was so messy and all over the place. And the side characters were so damn annoying."
@KrisBend,2024-03-18T10:03:36Z,2024-03-18T10:03:36Z,0,"Dwayne Johnson truly embodied Black Adam, bringing an intense and brooding presence to the role that we haven’t seen from him before. His performance alone is worth the watch!!!<br>The visual effects and action sequences were top-notch. The fight scenes were exhilarating and showcased Black Adam’s powers in a way that felt fresh and exciting!!!<br>And I was a bit disappointed with the plot. It felt like it had so much potential to dive deeper into Black Adam’s rich backstory but ended up focusing too much on spectacle over substance!!!"
@azuros54,2024-03-16T17:19:16Z,2024-03-16T17:19:16Z,0,DC please just stop with the BS movies.. it’s embarrassing
@tanganbabyrosak,2024-03-15T19:53:56Z,2024-03-15T19:53:56Z,0,in ancient world they even say “shazam” in american accent. thats the most funny thing for me
@AJ71373,2024-03-14T02:41:17Z,2024-03-14T02:41:17Z,3,Good movie
@Halofan00117,2024-03-11T04:53:14Z,2024-03-11T04:53:14Z,1,It&#39;s black adamin time!
@kosh9639,2024-03-08T08:12:07Z,2024-03-08T08:12:48Z,2,"Just, seen Black Adam&#39;s...  <br>I&#39;m actually going Give it a 8/10..  with top down explanation.<br><br>Main things they got wrong..<br>1.) It is 2 movies in one.. smash together.  Which, lead to not enough development of the characters.<br>2.) They focused more on the character Ark of Black Adams.<br>3.) The Writing the Tropes were Not the greatest &amp; Storyline was kind of sloppy..<br><br>And 4.) Black Adam didn&#39;t wear his cool Cloak-- for most of the movie.  😎😂<br><br><br>If, they made 2 movies with the same energy, CGI &amp; time to develop character arcs..  <br><br>I would of given it a 9/10.  👏👏"
@emeoLJA,2024-03-06T10:59:03Z,2024-03-06T10:59:03Z,2,"The bed DC movie so far. The casting for Black Adam, Fate and Hawk was surprisingly perfect. They each deserve their own movies really. DC don&#39;t burn this.<br><br>Aquaman 2 was great but s missed opportunity to introduce another super villain to help expand the DC universe. <br><br>Fate movie please!"
@thortczodtcrhodie6364,2024-02-24T15:00:19Z,2024-02-24T15:00:19Z,0,"Yo LOKI, big bro, THESE DAYS we got trophy&#39;s like Mr. Sinister &amp; his little brother Colossus. OUR COUSINS!!! LOL!!!!"
